BRANCH_NAME,BRANCH_CODE,SAVER_BALANCE,LOAN_BALANCE,PIPELINE_REG,PIPELINE_OFFER,FAX,TELEPHONE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,ADDRESS_5,POSTCODE
Ross Stafford,ROSS,,16033562.72,731100,1749600,,,,19 St. Petersgate,,Stockport,Cheshire,SK1 1HF
M.M.M,INT004,,1238982.34,,,,0161 929 9160,,10 8-10 Old Market Place,Altrincham,Cheshire,,WA14 4DF
A J Smith & Co,25,,70077.76,,,,0161 477 8181,,190 London Road,Hazel Grove,Stockport,Cheshire,SK7 4DQ
Edward Mellor & Co,35,0,86615.25,,,,0161 320 4908,,19 St Petersgate,Stockport,Cheshire,,SK1 1HF
St Petersgate,1,64319093.74,88644224.51,7110456.64,2130617.69,,0161 429 4305,,19 St Petersgate,Stockport,Cheshire,,SK1 1HF
Vernon Building Society,0,406101.41,82825325.54,3111995,3560097,,0161 429 6262,,19 St Petersgate,Stockport,Cheshire,,SK1 1HF
Hazel Grove,4,22356194.54,3267916.54,175000,207150,,0161 429 4313,,190 London Road,Hazel Grove,Stockport,Cheshire,SK7 4DQ
Poynton,5,45523059.71,7368763.57,1161326,207000,,01625 855830,,87 Park Lane,Poynton,Stockport,Cheshire,SK12 1RD
Nevett & Taylor Limited,84,0,434820.31,,,,01663 747000,,1 The Ridgedale Centre,Hollins Lane,Marple,Stockport,SK6 6AW
Rowcliffes Estate Agents,77,0,67772.64,,,,01663 745858,,1 The Ridgedale Centre,Hollins Lane,Marple,Stockport,SK6 6AW
Bramhall,3,29345362.72,4337995.66,149120,,,0161 429 4312,,12 Woodford Road,Bramhall,Stockport,Cheshire,SK7 1JJ
Marple,7,0,372798.47,,,,0161 429 4316,,1 The Ridgedale Centre,Hollins Lane,Marple,Stockport,SK6 6AW
Stockport,10,0,517879.63,,,,0161 429 6262,,19 St Petersgate,Stockport,Cheshire,,SK1 1HF
Marple,19,24492099.18,2793695.24,395000,110000,,0161 429 4316,,1 The Ridgedale Centre,Hollins Lane,Marple,Stockport,SK6 6AW
Reddish,6,16513000.06,4323577.86,655550,387300,,0161 429 4315,,4 Gorton Road,Reddish,Stockport,Cheshire,SK5 6AE
Edgeley,89,11046760.99,3369462.52,632750,100000,,0161 429 4314,,141-143 Castle Street,Edgeley,Stockport,Cheshire,SK3 9AR
agency,INTROD,,7917695.08,,,,0161 429 6262,,19 St Petersgate,,Stockport,Cheshire,SK1 1HF
Ross Stafford,RMS,,1366908.4,,,,0161 429 6262,,19 St Petersgate,,Stockport,Cheshire,SK1 1HF
Investment Admin,2,33272890.21,,,,,0161 429 4306,,19 St Petersgate,Stockport,Cheshire,,SK1 1HF
