INTRO_NAME,INTRO_CODE,SAVER_BALANCE,LOAN_BALANCE,PIPELINE_REG,PIPELINE_OFFER,FAX,TELEPHONE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,ADDRESS_5,POSTCODE,,,,
Kevin Parry Financial Services,1126,,84106.49,,,,1616786454,,10 Rushbury Drive,Royton,Oldham,,OL2 6LE,,,,
Jordan Lynch Ltd,398,,2297861.33,,271200,,0845 373 1810,Landmark House,Station Road,Cheadle Hulme,Cheadle,Cheshire,SK8 7BS,,,,
Medical Money Management (Liverpool),1147,,,,,0151 7096184,0151 7085042,I B House,36A Rodney Street,,Liverpool,,L1 9HT,,,,
St James'S Place Partnership,1614,,394068.94,,,,,Montague Court,21-25 London Road,,Newbury,Berkshire,RG14 1JL,,,,
"Andrew Wild, Ashley Law",1409,,45010.14,,,0161 736 2095,0161 736 2095,,29 Manor Road,,Salford,,M6 8QN,,,,
Banks Lane Finance,6052,,141510.45,,,,0800 7797046,,64 Norcross Close,,Stockport,Cheshire,SK2 5NH,,,,
Carl Leonard Associates,1865,,436962.02,,,1613047088,1613383639,Carrmill,210 Mottram Road,,Stalybridge,Cheshire,SK15 2RY,,,,
Pda Financial Planning,1837,,960269.97,,,,01457 875 875,,4 Carr Lea Platting Road,Lydgate,Oldham,,OL4 4DD,,,,
Prest Financial Services Ltd,2057,,671871.63,,,1614834423,1614567890,James House,Station View,Off Bramhall Moor Lane,Hazel Grove,Stockport,SK7 5ER,,,,
Burton Financial Services,3011,,71741.63,,,,01625 418610,Burton House,2 Church Terrace,Handforth,Wilmslow,Cheshire,SK9 3LW,,,,
Networth Mortgages & Protection,4934,,112333.11,,,0161 2857062,07525 206444,,27 Chester Road,Hazel Grove,Stockport,Cheshire,SK7 5NU,,,,
Malbon Townsend Independent Financial Advisers,1148,,268360.52,,46360,1270767300,1270767333,,28 London Road,Elworth,Sandbach,Cheshire,CW11 3BD,,,,
Moneysworth Ltd,1613,,100018.16,,,,1618508301,,20A Church Road,Cheadle Hulme,Cheadle,Cheshire,SK8 7JB,,,,
Peter Middleton Ifa,1876,,63502.72,,,1204382287,1204388697,,1 Warbreck Close,,Bolton,,BL2 6GY,,,,
Woodland Financial Solutions,1877,,,,,1706669664,1706675257,,13 Rosthwaite Close,Middleton,Manchester,,M24 4NT,,,,
Vale Insurance Services Ltd,1799,,237441.72,,,0161 942 9883,0161 941 5972,Vale Insurance Services Ltd,22-24 Market Street,,Altrincham,Cheshire,WA14 1PF,,,,
Rapport Financial Strategisis Ltd,1844,,351317.61,,100000,1617944745,1617944747,Rapport Financial Strategists Ltd,6 Pendlebury Road,Swinton,Manchester,,M27 4AR,,,,
Mca (Horwich) Ltd,1845,,,,,1204696623,1204696886,Advanced Mortgage Solutions,15 Lee Lane,Horwich,Bolton,,BL6 7BP,,,,
Kellands (Hale) Limited,1713,,203063.86,,,1619299921,1619298838,Kellands (Hale) Ltd,24 Victoria Road,Hale,Altrincham,Cheshire,WA15 9AD,,,,
Medical Money Management,255,,1615358.38,500000,717047,,0121 454 1288,Hockley Court Unit 16,2401 Stratford Road,Hockley Heath,Solihull,West Midlands,B94 6NW,,,,
Access 2 Mortgages,4132,,50082.82,,,01204 325743,01204 887 896,,64 Royds Street,Tottington,Bury,Lancashire,BL8 3NH,,,,
Real Financial Services,6733,,50002.19,,184000,,,Sovereign House,Stockport Road,,Cheadle,Cheshire,SK8 2EA,,,,
Gascoigne Halman Private Finance Ltd,1146,,1393494.39,358000,480950,01625 527772,1625460332,,42 Alderley Road,,Wilmslow,,SK9 1NY,,,,
"Clarity Financial Services, Positive Solutions",40752,,354677.62,,,1663732909,01663 719630,,13 Meadowside,Whaley Bridge,High Peak,Derbyshire,SK23 7AZ,,,,
Moneygate,1956,,0,,,,1614254852,Moneygate,UNIT 1 Woodstock Way,Boldon Business Park,Boldon Colliery,Tyne & Wear,NE35 9PF,,,,
Rsc Financial Management Direct,4936,,2436167.12,266500,28000,,0844 249 8590,Dean Row Court,Summerfield Village Centre Dean Row,,Wilmslow,Cheshire,SK9 2TB,,,,
Mortgages For Business,2263,,2459292.32,140000,668600,1625523044,1625531500,Dean Row Court,Summerfield Village Centre Dean Row,,Wilmslow,Cheshire,SK9 2TB,,,,
Bank House Consultants Ltd,1861,,83995.52,,,1706815777,1706815222,Bank House,Blind Lane,,Todmorden,Lancashire,OL14 5HZ,,,,
Berrido Mortgage Services T/A Mortgage Advice Bureau,1869,,51710.83,,,1972441321,1942526228,"Suite 3, Wilco House",65 Church Street,,Leigh,Lancashire,WN7 1AZ,,,,
Goodridge Roberts,147,,444978.15,,,,7932322107,,28 London Road,,Sandbach,Cheshire,CW11 3BD,,,,
New Start Mortgages,4154,,806829.34,263000,325000,0161 624 8225,0161 628 2223,Mortgages T L C Ltd,11 Church Terrace,,Oldham,,OL1 3AT,,,,
Mortgages Tlc Ltd,949,,727850.52,,,,0161 628 2223,Mortgages T L C Ltd,11 Church Terrace,,Oldham,,OL1 3AT,,,,
Pareto Mortgages,131,,360072.21,,,,08700 349339,City Wharf,New Bailey Street,,Salford,,M3 5ER,,,,
Positive Solutions,199,,791981.8,,,,0161 432 2794,Positive Solutions,Riverside House Goldcrest Way,,Newcastle Upon Tyne,,NE15 8NY,,,,
Eqi Independent Ltd,192,,261757.65,,,01928 589469,01925 751499,,The Heath Business & Technical Park,,Runcorn,Cheshire,WA7 4QX,,,,
Hamilton Finance (Manchester),1883,,0,,,,1617961916,,199 Bury New Road,Whitefield,Manchester,,M45 6GE,,,,
Acumen Independent Financial Advisers,406,,221417.58,,,0161 688 3899,0161 688 1111,Howarth Court,Gateway Crescent Oldham Broadway Bu,Chadderton,Oldham,,OL9 9XB,,,,
Direct Mortgages,176,,403692.81,,,0151 200 1240,0151 200 2021,,70 Whitby Road,Ellesmere Port,South Wirral,,CH65 0AA,,,,
Askey & Sutcliffe Associates,4351,,70017.04,,,1782515633,1782514501,,58 High Street,Biddulph,Stoke On Trent,,ST8 6AR,,,,
Integra Mortgage Solutions,4372,,151814.81,,,,1614290400,,8 Buttermere Drive,Hale Barns,Altrincham,Cheshire,WA15 0ST,,,,
G-Force Financial Services-Mortgage G Force Ltd,4551,,62395.9,,,0161 975 5310,0161 432 2211,,41 Lea Road,,Stockport,Cheshire,SK4 4JT,,,,
Richmond Financial Services,3590,,82215.54,,,01942 202121,01942 740444,Richmond Financial Services,25 Chapel Street,,Leigh,Lancashire,WN7 2PB,,,,
Oldham Independent Mortgage Services Ltd,4531,,178688.29,,,1616333007,1616333007,,11 James Street,,Oldham,,OL4 2NZ,,,,
Ocean Mortgage Company-Tenetlime Ltd,4571,,264101.47,,,,1204413699,,360 Belmont Road,,Bolton,,BL1 7DX,,,,
Buxton Lane Mortgages,341,,297021.98,,,,0161 371 7776,,341 Manchester Rd,Droylsden,Manchester,,M43 6GE,,,,
George Oghani Financial Services,4771,,118154.85,,,,07973-331756,,12 Culbert Avenue,,Manchester,,M20 6HB,,,,
Parsonage Ltd,2445,,45025.37,,,,0161 928 2706,Black Moss Court,Black Moss Road,Dunham Massey,Altrincham,Cheshire,WA14 5RG,,,,
Countrywide Mortgage Services,3172,,392685.65,,,,01908 961000,Countrywide House,88 Caldecotte Lake Drive,Caldecotte,Milton Keynes,,MK7 8JT,,,,
Edward Mellor,3229,,79901.09,,,,0161 494 9595,Edward Mellor Estate Agents,7 Hyde Road,Woodley,Stockport,Cheshire,SK6 1QG,,,,
Medical Money Management (Altrincham),3430,,275010.87,,,0161 929 9163,07585 971438,Medical Money Management,8 Old Market Place,,Altrincham,Cheshire,WA14 4DF,,,,
Wren Financial Services,177,,2761999.21,165000,,,01298 812286,Gautrieside Cottage,,Sparrow Pit,Buxton,Derbyshire,SK17 8ES,,,,
A B C Mortgages,4211,,402172.45,,,0161 477 3535,0161 477 6666,,95 Bramhall Lane,,Stockport,Cheshire,SK2 6HY,,,,
Kidd & Co Ltd,1596,,,,,0161 980 4786,0161 980 4686,,292 Hale Road,Hale Barns,Altrincham,Cheshire,WA15 8SP,,,,
Mortgage First,2786,,363525.08,,,,0161 330 2100,,161 Stamford Street,,Ashton Under Lyne,Lancashire,OL6 6XW,,,,
True Potential,2687,,87002.96,,,,0871 700 2007,,2 Deansgrave,Haslingden,Rossendale,Lancashire,BB4 4BZ,,,,
Archer Wealth Management,3012,,327262.62,,,,07932 987759,,639-641 Manchester Old Road,Middleton,Manchester,,M24 4PN,,,,
Nick Edge Financial Services Ltd,315,,1148927.73,,,0161 3306044,0161 344 5054,,18-20 Stamford Street,,Stalybridge,Cheshire,SK15 1JZ,,,,
Ams Mortgages,2625,,,,,,1614303207,,8 Old Bank Close,Bredbury,Stockport,Cheshire,SK6 1AF,,,,
Mortgage Advice Bureau (Leigh),3729,,47110.02,,,01942 441213,01942 526228,Wilco House,65 Church Street,,Leigh,Lancashire,WN7 1AZ,,,,
Moffatt Financial Planning Limited,1882,,104079.61,,,0871 528 4091,0161 226 5002,Parkway Two Parkway Business Centre,Princess Road,,Manchester,,M14 6AA,,,,
Andrew Street Financial Services,2486,,,,,,,,471 Hartshill Road,Hartshill,Stoke On Trent,Staffordshire,ST4 6AA,,,,
Tc Financial Solutions,1957,,826602.58,,,1619590166,1619590166,,3 Meadway,,Bury,Lancashire,BL9 9TY,,,,
